,Unnamed: 0,Model,Oversample,Scaler,Neighbors,precision,recall,f1-score,support
3,macro avg,K-Nearest Neighbors (kNN),True,StandardScaler(),17,0.71837652545176,0.8398360114461809,0.7366016207785837,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),True,StandardScaler(),17,0.8837586748634335,0.795222692211993,0.8166490648403436,4019.0
0,Active,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),19,0.968737633557578,0.7409200968523002,0.8396501457725948,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),19,0.4262734584450402,0.8895104895104895,0.5763479836882646,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),19,0.767355063448619,0.767355063448619,0.767355063448619,0.767355063448619
3,macro avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),19,0.6975055460013092,0.8152152931813949,0.7079990647304297,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,MaxAbsScaler(),19,0.8722305708042901,0.767355063448619,0.7928073874022797,4019.0
0,Active,K-Nearest Neighbors (kNN),False,PowerTransformer(),19,0.9719803104884512,0.7769370460048426,0.8635828427249789,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,PowerTransformer(),19,0.465166908563135,0.8965034965034965,0.612517916865743,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,PowerTransformer(),19,0.7982085095794974,0.7982085095794974,0.7982085095794974,0.7982085095794974
3,macro avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),19,0.7185736095257932,0.8367202712541695,0.7380503797953609,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,PowerTransformer(),19,0.8818156968092772,0.7982085095794974,0.8189171492715442,4019.0
0,Active,K-Nearest Neighbors (kNN),False,StandardScaler(),14,0.9737034331628928,0.8069007263922519,0.8824892419728567,3304.0
1,Inactive,K-Nearest Neighbors (kNN),False,StandardScaler(),14,0.501951600312256,0.8993006993006993,0.6442885771543087,715.0
2,accuracy,K-Nearest Neighbors (kNN),False,StandardScaler(),14,0.8233391390893257,0.8233391390893257,0.8233391390893257,0.8233391390893257
3,macro avg,K-Nearest Neighbors (kNN),False,StandardScaler(),14,0.7378275167375743,0.8531007128464756,0.7633889095635826,4019.0
4,weighted avg,K-Nearest Neighbors (kNN),False,StandardScaler(),14,0.8897764462287783,0.8233391390893257,0.8401121642556978,4019.0
0,Active,Random Forests,False,"RobustScaler(quantile_range=(25, 75))",0,0.9527397260273972,0.8420096852300242,0.8939588688946016,3304.0
1,Inactive,Random Forests,False,"RobustScaler(quantile_range=(25, 75))",0,0.5250227479526842,0.806993006993007,0.6361631753031973,715.0
